TIGR00001;rpmI_bact: ribosomal protein L35
TIGR01354;cyt_deam_tetra: cytidine deaminase
TIGR01355;cyt_deam_dimer: cytidine deaminase
TIGR01356;aroA: 3-phosphoshikimate 1-carboxyvinyltransferase
TIGR01357;aroB: 3-dehydroquinate synthase
TIGR01358;DAHP_synth_II: 3-deoxy-7-phosphoheptulonate synthase
TIGR01359;UMP_CMP_kin_fam: UMP-CMP kinase family
TIGR01360;aden_kin_iso1: adenylate kinase
TIGR01361;DAHP_synth_Bsub: phospho-2-dehydro-3-deoxyheptonate aldolase
TIGR01362;KDO8P_synth: 3-deoxy-8-phosphooctulonate synthase
TIGR01363;strep_his_triad: streptococcal histidine triad protein
TIGR01364;serC_1: phosphoserine transaminase
TIGR01365;serC_2: phosphoserine aminotransferase
TIGR01366;serC_3: putative phosphoserine aminotransferase
TIGR01367;pyrE_Therm: orotate phosphoribosyltransferase
TIGR01368;CPSaseIIsmall: carbamoyl-phosphate synthase, small subunit
TIGR01369;CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit
TIGR01370;TIGR01370: extracellular protein
TIGR01371;met_syn_B12ind: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
TIGR01372;soxA: sarcosine oxidase, alpha subunit family
TIGR01373;soxB: sarcosine oxidase, beta subunit family
TIGR01374;soxD: sarcosine oxidase, delta subunit family
TIGR01375;soxG: sarcosine oxidase, gamma subunit family
TIGR01376;POMP_repeat: chlamydial polymorphic outer membrane protein repeat
TIGR01377;soxA_mon: sarcosine oxidase, monomeric form
TIGR01378;thi_PPkinase: thiamine pyrophosphokinase
TIGR01379;thiL: thiamine-monophosphate kinase
TIGR01380;glut_syn: glutathione synthase
TIGR01381;E1_like_apg7: E1-like protein-activating enzyme Gsa7p/Apg7p
TIGR01382;PfpI: intracellular protease, PfpI family
TIGR01383;not_thiJ: DJ-1 family protein
TIGR01384;TFS_arch: transcription factor S
TIGR01385;TFSII: transcription elongation factor S-II
TIGR01386;cztS_silS_copS: heavy metal sensor kinase
TIGR01387;cztR_silR_copR: heavy metal response regulator
TIGR01388;rnd: ribonuclease D
TIGR01389;recQ: ATP-dependent DNA helicase RecQ
TIGR01390;CycNucDiestase: 2',3'-cyclic-nucleotide 2'-phosphodiesterase
TIGR01391;dnaG: DNA primase
TIGR01392;homoserO_Ac_trn: homoserine O-acetyltransferase
TIGR01393;lepA: GTP-binding protein LepA
TIGR01394;TypA_BipA: GTP-binding protein TypA/BipA
TIGR01395;FlgC: flagellar basal-body rod protein FlgC
TIGR01396;FlgB: flagellar basal-body rod protein FlgB
TIGR01397;fliM_switch: flagellar motor switch protein FliM
TIGR01398;FlhA: flagellar biosynthesis protein FlhA
TIGR01399;hrcV: type III secretion protein, HrcV family
TIGR01400;fliR: flagellar biosynthetic protein FliR
TIGR01401;fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
TIGR01402;fliQ: flagellar biosynthetic protein FliQ
TIGR01403;fliQ_rel_III: type III secretion protein, HrpO family
TIGR01404;FlhB_rel_III: type III secretion protein, YscU/HrpY family
TIGR01405;polC_Gram_pos: DNA polymerase III, alpha subunit, Gram-positive type
TIGR01406;dnaQ_proteo: DNA polymerase III, epsilon subunit
TIGR01407;dinG_rel: putative DnaQ family exonuclease/DinG family helicase
TIGR01408;Ube1: ubiquitin-activating enzyme E1
TIGR01409;TAT_signal_seq: Tat (twin-arginine translocation) pathway signal sequence
TIGR01410;tatB: twin arginine-targeting protein translocase TatB
TIGR01411;tatAE: twin arginine-targeting protein translocase, TatA/E family
TIGR01412;tat_substr_1: Tat-translocated enzyme
TIGR01413;Dyp_perox_fam: Dyp-type peroxidase family
TIGR01414;autotrans_barl: outer membrane autotransporter barrel domain
TIGR01415;trpB_rel: pyridoxal-phosphate dependent TrpB-like enzyme
TIGR01416;Rieske_proteo: ubiquinol-cytochrome c reductase, iron-sulfur subunit
TIGR01417;PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase
TIGR01418;PEP_synth: phosphoenolpyruvate synthase
TIGR01419;nitro_reg_IIA: PTS IIA-like nitrogen-regulatory protein PtsN
TIGR01420;pilT_fam: twitching motility protein
TIGR01421;gluta_reduc_1: glutathione-disulfide reductase
TIGR01422;phosphonatase: phosphonoacetaldehyde hydrolase
TIGR01423;trypano_reduc: trypanothione-disulfide reductase
TIGR01424;gluta_reduc_2: glutathione-disulfide reductase
TIGR01425;SRP54_euk: signal recognition particle protein SRP54
TIGR01426;MGT: glycosyltransferase, MGT family
TIGR01427;PTS_IIC_fructo: PTS system, Fru family, IIC component
TIGR01428;HAD_type_II: haloacid dehalogenase, type II
TIGR01429;AMP_deaminase: AMP deaminase
TIGR01430;aden_deam: adenosine deaminase
TIGR01431;adm_rel: adenosine deaminase-related growth factor
TIGR01432;QOXA: cytochrome aa3 quinol oxidase, subunit II
TIGR01433;CyoA: ubiquinol oxidase, subunit II
TIGR01434;glu_cys_ligase: glutamate--cysteine ligase
TIGR01435;glu_cys_lig_rel: glutamate--cysteine ligase/gamma-glutamylcysteine synthetase
TIGR01436;glu_cys_lig_pln: glutamate--cysteine ligase
TIGR01437;selA_rel: uncharacterized pyridoxal phosphate-dependent enzyme
TIGR01438;TGR: thioredoxin and glutathione reductase
TIGR01439;lp_hng_hel_AbrB: transcriptional regulator, AbrB family
TIGR01440;TIGR01440: TIGR01440 family protein
TIGR01441;GPR: GPR endopeptidase
TIGR01442;SASP_gamma: small, acid-soluble spore protein, gamma-type
TIGR01443;intein_Cterm: intein C-terminal splicing region
TIGR01444;fkbM_fam: methyltransferase, FkbM family
TIGR01445;intein_Nterm: intein N-terminal splicing region
TIGR01446;DnaD_dom: DnaD domain protein
TIGR01447;recD: exodeoxyribonuclease V, alpha subunit
TIGR01448;recD_rel: helicase, RecD/TraA family
TIGR01449;PGP_bact: phosphoglycolate phosphatase, bacterial
TIGR01450;recC: exodeoxyribonuclease V, gamma subunit
TIGR01451;B_ant_repeat: conserved repeat domain
TIGR01452;PGP_euk: phosphoglycolate/pyridoxal phosphate phosphatase family
TIGR01453;grpIintron_endo: group I intron endonuclease
TIGR01454;AHBA_synth_RP: AHBA synthesis associated protein
TIGR01455;glmM: phosphoglucosamine mutase
TIGR01456;CECR5: HAD hydrolase, TIGR01456 family
TIGR01457;HAD-SF-IIA-hyp2: HAD hydrolase, TIGR01457 family
TIGR01458;HAD-SF-IIA-hyp3: HAD hydrolase, TIGR01458 family
TIGR01459;HAD-SF-IIA-hyp4: HAD hydrolase, TIGR01459 family
TIGR01460;HAD-SF-IIA: HAD hydrolase, family IIA
TIGR01461;greB: transcription elongation factor GreB
TIGR01462;greA: transcription elongation factor GreA
TIGR01463;mtaA_cmuA: methyltransferase, MtaA/CmuA family
TIGR01464;hemE: uroporphyrinogen decarboxylase
TIGR01465;cobM_cbiF: precorrin-4 C11-methyltransferase
TIGR01466;cobJ_cbiH: precorrin-3B C17-methyltransferase
TIGR01467;cobI_cbiL: precorrin-2 C20-methyltransferase
TIGR01469;cobA_cysG_Cterm: uroporphyrinogen-III C-methyltransferase
TIGR01470;cysG_Nterm: siroheme synthase, N-terminal domain
TIGR01472;gmd: GDP-mannose 4,6-dehydratase
TIGR01473;cyoE_ctaB: protoheme IX farnesyltransferase
TIGR01474;ubiA_proteo: 4-hydroxybenzoate polyprenyl transferase
TIGR01475;ubiA_other: putative 4-hydroxybenzoate polyprenyltransferase
TIGR01476;chlor_syn_BchG: bacteriochlorophyll/chlorophyll synthetase
TIGR01477;RIFIN: variant surface antigen, rifin family
TIGR01478;STEVOR: variant surface antigen, stevor family
TIGR01479;GMP_PMI: mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
TIGR01480;copper_res_A: copper-resistance protein, CopA family
TIGR01481;ccpA: catabolite control protein A
TIGR01482;SPP-subfamily: sucrose-phosphate phosphatase subfamily
TIGR01484;HAD-SF-IIB: HAD hydrolase, family IIB
TIGR01485;SPP_plant-cyano: sucrose phosphatase
TIGR01486;HAD-SF-IIB-MPGP: mannosyl-3-phosphoglycerate phosphatase family
TIGR01487;Pglycolate_arch: phosphoglycolate phosphatase, TA0175-type
TIGR01488;HAD-SF-IB: HAD phosphoserine phosphatase-like hydrolase, family IB
TIGR01489;DKMTPPase-SF: 2,3-diketo-5-methylthio-1-phosphopentane phosphatase
TIGR01490;HAD-SF-IB-hyp1: HAD hydrolase, family IB
TIGR01491;HAD-SF-IB-PSPlk: phosphoserine phosphatase-like hydrolase, archaeal
TIGR01492;CPW_WPC: Plasmodium falciparum CPW-WPC domain
TIGR01493;HAD-SF-IA-v2: HAD hydrolase, family IA, variant 2
TIGR01494;ATPase_P-type: HAD ATPase, P-type, family IC
TIGR01495;ETRAMP: early transcribed membrane protein (ETRAMP) family
TIGR01496;DHPS: dihydropteroate synthase
TIGR01497;kdpB: K+-transporting ATPase, B subunit
TIGR01498;folK: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
TIGR01499;folC: bifunctional protein FolC
TIGR01500;sepiapter_red: sepiapterin reductase
TIGR01501;MthylAspMutase: methylaspartate mutase, S subunit
TIGR01502;B_methylAsp_ase: methylaspartate ammonia-lyase
TIGR01503;MthylAspMut_E: methylaspartate mutase, E subunit
TIGR01504;glyox_carbo_lig: glyoxylate carboligase
TIGR01505;tartro_sem_red: 2-hydroxy-3-oxopropionate reductase
TIGR01506;ribC_arch: riboflavin synthase
TIGR01507;hopene_cyclase: squalene-hopene cyclase
TIGR01508;rib_reduct_arch: diaminohydroxyphosphoribosylaminopyrimidine reductase
TIGR01509;HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3
TIGR01510;coaD_prev_kdtB: pantetheine-phosphate adenylyltransferase
TIGR01511;ATPase-IB1_Cu: copper-translocating P-type ATPase
TIGR01512;ATPase-IB2_Cd: cadmium-translocating P-type ATPase
TIGR01513;NAPRTase_put: nicotinate phosphoribosyltransferase
TIGR01514;NAPRTase: nicotinate phosphoribosyltransferase
TIGR01515;branching_enzym: 1,4-alpha-glucan branching enzyme
TIGR01517;ATPase-IIB_Ca: calcium-translocating P-type ATPase, PMCA-type
TIGR01518;g3p_cytidyltrns: glycerol-3-phosphate cytidylyltransferase
TIGR01519;plasmod_dom_1: Plasmodium falciparum uncharacterized domain
TIGR01520;FruBisAldo_II_A: fructose-bisphosphate aldolase, class II
TIGR01521;FruBisAldo_II_B: fructose-bisphosphate aldolase, class II, Calvin cycle subtype
TIGR01522;ATPase-IIA2_Ca: calcium-transporting P-type ATPase, PMR1-type
TIGR01523;ATPase-IID_K-Na: potassium/sodium efflux P-type ATPase, fungal-type
TIGR01524;ATPase-IIIB_Mg: magnesium-translocating P-type ATPase
TIGR01525;ATPase-IB_hvy: heavy metal translocating P-type ATPase
TIGR01526;nadR_NMN_Atrans: nicotinamide-nucleotide adenylyltransferase
TIGR01527;arch_NMN_Atrans: nicotinamide-nucleotide adenylyltransferase
TIGR01528;NMN_trans_PnuC: nicotinamide mononucleotide transporter PnuC
TIGR01529;argR_whole: arginine repressor
TIGR01530;nadN: NAD nucleotidase
TIGR01531;glyc_debranch: glycogen debranching enzyme
TIGR01532;E4PD_g-proteo: erythrose-4-phosphate dehydrogenase
TIGR01533;lipo_e_P4: 5'-nucleotidase, lipoprotein e(P4) family
TIGR01534;GAPDH-I: glyceraldehyde-3-phosphate dehydrogenase, type I
TIGR01535;glucan_glucosid: glucan 1,4-alpha-glucosidase
TIGR01536;asn_synth_AEB: asparagine synthase (glutamine-hydrolyzing)
TIGR01537;portal_HK97: phage portal protein, HK97 family
TIGR01538;portal_SPP1: phage portal protein, SPP1 family
TIGR01539;portal_lambda: phage portal protein, lambda family
TIGR01540;portal_PBSX: phage portal protein, PBSX family
TIGR01541;tape_meas_lam_C: phage tail tape measure protein, lambda family
TIGR01542;A118_put_portal: phage portal protein, putative, A118 family
TIGR01543;proheadase_HK97: phage prohead protease, HK97 family
TIGR01544;HAD-SF-IE: HAD hydrolase, family IE
TIGR01545;YfhB_g-proteo: HAD hydrolase, family IF
TIGR01546;GAPDH-II_archae: glyceraldehyde-3-phosphate dehydrogenase, type II
TIGR01547;phage_term_2: phage terminase, large subunit, PBSX family
TIGR01548;HAD-SF-IA-hyp1: HAD hydrolase, TIGR01548 family
TIGR01549;HAD-SF-IA-v1: HAD hydrolase, family IA, variant 1
TIGR01550;DOC_P1: death-on-curing family protein
TIGR01551;major_capsid_P2: phage major capsid protein, P2 family
TIGR01552;phd_fam: prevent-host-death family protein
TIGR01553;formate-DH-alph: formate dehydrogenase, alpha subunit
TIGR01554;major_cap_HK97: phage major capsid protein, HK97 family
TIGR01555;phge_rel_HI1409: phage-associated protein, HI1409 family
TIGR01556;rhamnosyltran: rhamnosyltransferase
TIGR01557;myb_SHAQKYF: myb-like DNA-binding domain, SHAQKYF class
TIGR01558;sm_term_P27: putative phage terminase, small subunit, P27 family
TIGR01559;squal_synth: farnesyl-diphosphate farnesyltransferase
TIGR01560;put_DNA_pack: uncharacterized phage protein (possible DNA packaging)
TIGR01561;gde_arch: putative glycogen debranching enzyme, archaeal type
TIGR01562;FdhE: formate dehydrogenase accessory protein FdhE
TIGR01563;gp16_SPP1: putative phage head-tail adaptor
TIGR01564;S_layer_MJ: S-layer protein
TIGR01565;homeo_ZF_HD: homeobox domain, ZF-HD class
TIGR01566;ZF_HD_prot_N: ZF-HD homeobox protein Cys/His-rich dimerization domain
TIGR01567;S_layer_rel_Mac: S-layer family duplication domain
TIGR01568;A_thal_3678: uncharacterized plant-specific domain TIGR01568
TIGR01569;A_tha_TIGR01569: plant integral membrane protein TIGR01569
TIGR01570;A_thal_3588: uncharacterized plant-specific domain TIGR01570
TIGR01571;A_thal_Cys_rich: uncharacterized Cys-rich domain
TIGR01572;A_thl_para_3677: Arabidopsis paralogous family TIGR01572
TIGR01573;cas2: CRISPR-associated endoribonuclease Cas2
TIGR01574;miaB-methiolase: tRNA-i(6)A37 thiotransferase enzyme MiaB
TIGR01575;rimI: ribosomal-protein-alanine acetyltransferase
TIGR01577;oligosac_amyl: oligosaccharide amylase
TIGR01578;MiaB-like-B: MiaB-like tRNA modifying enzyme, archaeal-type
TIGR01579;MiaB-like-C: MiaB-like tRNA modifying enzyme
TIGR01580;narG: nitrate reductase, alpha subunit
TIGR01581;Mo_ABC_porter: NifC-like ABC-type porter
TIGR01582;FDH-beta: formate dehydrogenase, beta subunit
TIGR01583;formate-DH-gamm: formate dehydrogenase, gamma subunit
TIGR01584;citF: citrate lyase, alpha subunit
TIGR01586;yopT_cys_prot: cysteine protease domain, YopT-type
TIGR01587;cas3_core: CRISPR-associated helicase Cas3
TIGR01588;citE: citrate (pro-3S)-lyase, beta subunit
TIGR01589;A_thal_3526: uncharacterized plant-specific domain TIGR01589
TIGR01590;yir-bir-cir_Pla: yir/bir/cir-family of variant antigens
TIGR01591;Fdh-alpha: formate dehydrogenase, alpha subunit
TIGR01592;holin_SPP1: holin, SPP1 family
TIGR01593;holin_tox_secr: toxin secretion/phage lysis holin
TIGR01594;holin_lambda: phage holin, lambda family
TIGR01595;cas_CT1132: CRISPR-associated protein, CT1132 family
TIGR01596;cas3_HD: CRISPR-associated endonuclease Cas3-HD
TIGR01597;PYST-B: Plasmodium yoelii subtelomeric family PYST-B
TIGR01598;holin_phiLC3: holin, phage phi LC3 family
TIGR01599;PYST-A: Plasmodium yoelii subtelomeric family PYST-A
TIGR01600;phage_tail_L: phage minor tail protein L
TIGR01601;PYST-C1: Plasmodium yoelii subtelomeric domain PYST-C1
TIGR01602;PY-rept-46: Plasmodium yoelii repeat of length 46
TIGR01603;maj_tail_phi13: phage major tail protein, phi13 family
TIGR01604;PYST-C2: Plasmodium yoelii subtelomeric domain PYST-C2
TIGR01605;PYST-D: Plasmodium yoelii subtelomeric family PYST-D
TIGR01606;holin_BlyA: holin, BlyA family
TIGR01607;PST-A: Plasmodium subtelomeric family
TIGR01608;citD: citrate lyase acyl carrier protein
TIGR01609;PF_unchar_267: Plasmodium falciparum uncharacterized protein TIGR01609
TIGR01610;phage_O_Nterm: phage replication protein O, N-terminal domain
TIGR01611;tail_tube: phage major tail tube protein
TIGR01612;235kDa-fam: rhoptry protein
TIGR01613;primase_Cterm: phage/plasmid primase, P4 family, C-terminal domain
TIGR01614;PME_inhib: pectinesterase inhibitor domain
TIGR01615;A_thal_3542: uncharacterized plant-specific domain TIGR01615
TIGR01616;nitro_assoc: nitrogenase-associated protein
TIGR01617;arsC_related: transcriptional regulator, Spx/MgsR family
TIGR01618;phage_P_loop: phage nucleotide-binding protein
TIGR01619;hyp_HI0040: TIGR01619 family protein
TIGR01620;hyp_HI0043: TIGR01620 family protein
TIGR01621;RluA-like: pseudouridine synthase Rlu family protein, TIGR01621
TIGR01622;SF-CC1: splicing factor, CC1-like family
TIGR01623;put_zinc_LRP1: putative zinc finger domain, LRP1 type
TIGR01624;LRP1_Cterm: LRP1 C-terminal domain
TIGR01625;YidE_YbjL_dupl: AspT/YidE/YbjL antiporter duplication domain
TIGR01626;ytfJ_HI0045: conserved hypothetical protein YtfJ-family, TIGR01626
TIGR01627;A_thal_3515: uncharacterized plant-specific domain TIGR01627
TIGR01628;PABP-1234: polyadenylate binding protein, human types 1, 2, 3, 4 family
TIGR01629;rep_II_X: phage/plasmid replication protein, gene II/X family
TIGR01630;psiM2_ORF9: phage uncharacterized protein, C-terminal domain
TIGR01631;Trypano_RHS: trypanosome RHS family
TIGR01632;L11_bact: ribosomal protein L11
TIGR01633;phi3626_gp14_N: putative phage tail component, N-terminal domain
TIGR01634;tail_P2_I: phage tail protein I
TIGR01635;tail_comp_S: phage virion morphogenesis protein
TIGR01636;phage_rinA: phage transcriptional regulator, RinA family
TIGR01637;phage_arpU: phage transcriptional regulator, ArpU family
TIGR01638;Atha_cystat_rel: Arabidopsis thaliana cystatin-related protein
TIGR01639;P_fal_TIGR01639: Plasmodium falciparum uncharacterized domain TIGR01639
TIGR01640;F_box_assoc_1: F-box protein interaction domain
TIGR01641;phageSPP1_gp7: phage head morphogenesis protein, SPP1 gp7 family
TIGR01642;U2AF_lg: U2 snRNP auxilliary factor, large subunit, splicing factor
TIGR01643;YD_repeat_2x: YD repeat (two copies)
TIGR01644;phage_P2_V: phage baseplate assembly protein V
TIGR01645;half-pint: poly-U binding splicing factor, half-pint family
TIGR01646;vgr_GE: Rhs element Vgr protein
TIGR01647;ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase
TIGR01648;hnRNP-R-Q: hnRNP-R, Q splicing factor family
TIGR01649;hnRNP-L_PTB: hnRNP-L/PTB/hephaestus splicing factor family
TIGR01650;PD_CobS: cobaltochelatase, CobS subunit
TIGR01651;CobT: cobaltochelatase, CobT subunit
TIGR01652;ATPase-Plipid: phospholipid-translocating P-type ATPase, flippase
TIGR01653;lactococcin_972: bacteriocin, lactococcin 972 family
TIGR01654;bact_immun_7tm: bacteriocin-associated integral membrane protein
TIGR01655;yxeA_fam: conserved hypothetical protein
TIGR01656;Histidinol-ppas: histidinol-phosphate phosphatase domain
TIGR01657;P-ATPase-V: P-type ATPase of unknown pump specificity (type V)
TIGR01658;EYA-cons_domain: EYA conserved domain
TIGR01659;sex-lethal: sex-lethal family splicing factor
TIGR01660;narH: nitrate reductase, beta subunit
TIGR01661;ELAV_HUD_SF: ELAV/HuD family splicing factor
TIGR01662;HAD-SF-IIIA: HAD hydrolase, family IIIA
TIGR01663;PNK-3'Pase: polynucleotide kinase 3'-phosphatase
TIGR01664;DNA-3'-Pase: DNA 3'-phosphatase
TIGR01665;put_anti_recept: phage minor structural protein, N-terminal region
TIGR01666;YCCS: TIGR01666 family membrane protein
TIGR01667;YCCS_YHJK: integral membrane protein, YccS/YhfK family
TIGR01668;YqeG_hyp_ppase: HAD phosphatase, family IIIA
TIGR01669;phage_XkdX: phage uncharacterized protein, XkdX family
TIGR01670;YrbI-phosphatas: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family
TIGR01671;phage_TIGR01671: phage conserved hypothetical protein TIGR01671
TIGR01672;AphA: HAD phosphatase, family IIIB
TIGR01673;holin_LLH: phage holin, LL-H family
TIGR01674;phage_lambda_G: phage minor tail protein G
TIGR01675;plant-AP: plant acid phosphatase
TIGR01676;GLDHase: galactonolactone dehydrogenase
TIGR01677;pln_FAD_oxido: plant-specific FAD-dependent oxidoreductase
TIGR01678;FAD_lactone_ox: sugar 1,4-lactone oxidases
TIGR01679;bact_FAD_ox: FAD-linked oxidoreductase
TIGR01680;Veg_Stor_Prot: vegetative storage protein
TIGR01681;HAD-SF-IIIC: HAD phosphatase, family IIIC
TIGR01682;moaD: molybdopterin converting factor, subunit 1
TIGR01683;thiS: thiamine biosynthesis protein ThiS
